source_with_markdown,source_without_markdown,target_without_markdown,target_with_markdown
"I heard an interview on the [New Yorker podcast recently](https://soundcloud.com/newyorker/teju-cole-talks-about-red-and-his-career#t=5:35), the host was interviewing writer and photographer, Teju Cole.","I heard an interview on the New Yorker podcast recently, the host was interviewing writer and photographer, Teju Cole.",I heard an interview on the New Yorker podcast recently.,I heard an interview on the [New Yorker podcast recently](https://soundcloud.com/newyorker/teju-cole-talks-about-red-and-his-career#t=5:35).
"When I heard this, I felt like hugging the host. He couldn’t even listen to a song all the way through, before getting distracted. Imagine what his bedside pile of books does to him.

I also felt like hugging Teju Cole. It’s people like Mr. Cole who give us hope that someone will be left to teach our children how to read books.","When I heard this, I felt like hugging the host. He couldn’t even listen to a song all the way through, before getting distracted. Imagine what his bedside pile of books does to him. I also felt like hugging Teju Cole. It’s people like Mr. Cole who give us hope that someone will be left to teach our children how to read books.","When I heard this, I felt like hugging the host. It’s people like Mr. Cole who give us hope that someone will be left to teach our children how to read books.","When I heard this, I felt like hugging the host. It’s people like Mr. Cole who give us hope that someone will be left to teach our children how to read books."
"What was true of my problems reading books — the unavoidable siren call of the digital hit of new information — was true in the rest of my life as well.

My two-year old daughter, dance recital. Pink tutu. Cat ears on her head. Along with five other two-year-olds, in front of a crowd of 75 parents and grandparents, these little toddlers put on a show. You can imagine the rest. You’ve seen these videos on Youtube, maybe I have shown you my videos. The cuteness level was extreme, a moment that defines a certain kind of parental pride. My daughter didn’t even dance, she just wandered around the stage, looking at the audience with eyes as wide as a two-year old’s eyes starting at a bunch of strangers. It didn’t matter that she didn’t dance, I was so proud. I took photos, and video, with my phone.

And, just in case, I checked my email. Twitter. You never know.","What was true of my problems reading books — the unavoidable siren call of the digital hit of new information — was true in the rest of my life as well. My two-year old daughter, dance recital. Pink tutu. Cat ears on her head. Along with five other two-year-olds, in front of a crowd of 75 parents and grandparents, these little toddlers put on a show. You can imagine the rest. You’ve seen these videos on Youtube, maybe I have shown you my videos. The cuteness level was extreme, a moment that defines a certain kind of parental pride. My daughter didn’t even dance, she just wandered around the stage, looking at the audience with eyes as wide as a two-year old’s eyes starting at a bunch of strangers. It didn’t matter that she didn’t dance, I was so proud. I took photos, and video, with my phone. And, just in case, I checked my email. Twitter. You never know."," The cuteness level was extreme, a moment that defines a certain kind of parental pride."," The cuteness level was extreme, a moment that defines a certain kind of parental pride."
"I find myself in these kinds of situations often, checking email or Twitter, or Facebook, with nothing to gain except the stress of a work-related message that I can’t answer right now in any case.

It makes me feel vaguely dirty, reading my phone with my daughter doing something wonderful right next to me, like I’m sneaking a cigarette.

Or a crack pipe.

One time I was reading on my phone while my older daughter, the four-year-old, was trying to talk to me. I didn’t quite hear what she had said, and in any case, I was reading an article about North Korea. She grabbed my face in her two hands, pulled me towards her. “Look at me,” she said, “when I’m talking to you.”

She is right. I should.

Spending time with friends, or family, I often feel a soul-deep throb coming from that perfectly engineered wafer of stainless steel and glass and rare earth metals in my pocket. _Touch me. Look at me. You might find something marvellous._","I find myself in these kinds of situations often, checking email or Twitter, or Facebook, with nothing to gain except the stress of a work-related message that I can’t answer right now in any case. It makes me feel vaguely dirty, reading my phone with my daughter doing something wonderful right next to me, like I’m sneaking a cigarette. Or a crack pipe. One time I was reading on my phone while my older daughter, the four-year-old, was trying to talk to me. I didn’t quite hear what she had said, and in any case, I was reading an article about North Korea. She grabbed my face in her two hands, pulled me towards her. “Look at me,” she said, “when I’m talking to you.” She is right. I should. Spending time with friends, or family, I often feel a soul-deep throb coming from that perfectly engineered wafer of stainless steel and glass and rare earth metals in my pocket. Touch me. Look at me. You might find something marvellous.","I find myself in these kinds of situations often, checking email or Twitter, or Facebook, with nothing to gain except the stress of a work-related message. It makes me feel vaguely dirty, reading my phone with my daughter doing something wonderful right next to me.","I find myself in these kinds of situations often, checking email or Twitter, or Facebook, with nothing to gain except the stress of a work-related message. It makes me feel vaguely dirty, reading my phone with my daughter doing something wonderful right next to me."
"This sickness is not limited to when I am trying to read, or once-in-a-lifetime events with my daughter.

At work, my concentration is constantly broken: finishing writing an article (this one, actually), answering that client’s request, reviewing and commenting on the new designs, cleaning up the copy on the About page. Contacting so and so. Taxes.

All these tasks critical to my livelihood, get bumped more often than I should admit by a quick look at Twitter (for work), or Facebook (also for work), or an article about [Mandelbrot sets](https://medium.com/starts-with-a-bang/weekend-diversion-zooming-into-a-fractal-975c80636cf0) (which, just this minute, I read).","This sickness is not limited to when I am trying to read, or once-in-a-lifetime events with my daughter. At work, my concentration is constantly broken: finishing writing an article (this one, actually), answering that client’s request, reviewing and commenting on the new designs, cleaning up the copy on the About page. Contacting so and so. Taxes. All these tasks critical to my livelihood, get bumped more often than I should admit by a quick look at Twitter (for work), or Facebook (also for work), or an article about Mandelbrot sets (which, just this minute, I read).","This sickness is not limited to when I am trying to read, or once-in-a-lifetime events with my daughter. All these tasks critical to my livelihood, get bumped more often than I should admit.","This sickness is not limited to when I am trying to read, or once-in-a-lifetime events with my daughter. All these tasks critical to my livelihood, get bumped more often than I should admit."
"Email, of course, is the worst, because email is where work happens, and even if it’s not the _work you should be doing right now_ it may well be work that’s easier to do than what you are doing now, and that means somehow you end up doing that work instead of whatever you are supposed to be working on now. And only then do you get back to what you should have been focusing on all along.","Email, of course, is the worst, because email is where work happens, and even if it’s not the work you should be doing right now it may well be work that’s easier to do than what you are doing now, and that means somehow you end up doing that work instead of whatever you are supposed to be working on now. And only then do you get back to what you should have been focusing on all along.","Email is where work happens, and even if it's not the work you should be doing right now it may well be work that's easier to do than what you are doing now.","Email is where work happens, and even if it's not the _work you should be doing right now_ it may well be work that's easier to do than what you are doing now."
"It turns out that digital devices and software are finely tuned to train us to pay attention to them, no matter what else we should be doing. The mechanism, borne out by recent neuroscience studies, is something like this:

*   _New information creates a rush of dopamine to the brain, a neurotransmitter that makes you feel good._
*   _The promise of new information compels your brain to seek out that dopamine rush._

With fMRIs, you can see the brain’s pleasure centres light up with activity when new emails arrive.","It turns out that digital devices and software are finely tuned to train us to pay attention to them, no matter what else we should be doing. The mechanism, borne out by recent neuroscience studies, is something like this: * New information creates a rush of dopamine to the brain, a neurotransmitter that makes you feel good. * The promise of new information compels your brain to seek out that dopamine rush. With fMRIs, you can see the brain’s pleasure centres light up with activity when new emails arrive."," New information creates a rush of dopamine to the brain, a neurotransmitter that makes you feel good. With fMRIs, you can see the brain’s pleasure centres light up with activity when new emails arrive.","New information creates a rush of dopamine to the brain, a neurotransmitter that makes you feel good. With fMRIs, you can see the brain’s pleasure centres light up with activity when new emails arrive."
"So, every new email you get gives you a little flood of dopamine. Every little flood of dopamine reinforces your brain’s memory that checking email gives a flood of dopamine. And our brains are programmed to seek out things that will give us little floods of dopamine. Further, these patterns of behaviour start creating neural pathways, so that they become unconscious habits: Work on something important, brain itch, check email, _dopamine_, refresh, _dopamine_, check Twitter, _dopamine_, back to work. Over and over, and each time the habit becomes more ingrained in the actual structures of our brains.

How can books compete?","So, every new email you get gives you a little flood of dopamine. Every little flood of dopamine reinforces your brain’s memory that checking email gives a flood of dopamine. And our brains are programmed to seek out things that will give us little floods of dopamine. Further, these patterns of behaviour start creating neural pathways, so that they become unconscious habits: Work on something important, brain itch, check email, dopamine, refresh, dopamine, check Twitter, dopamine, back to work. Over and over, and each time the habit becomes more ingrained in the actual structures of our brains. How can books compete?"," Our brains are programmed to seek out things that will give us little floods of dopamine. These patterns of behaviour start creating neural pathways, so that they become unconscious habits.","Our brains are programmed to seek out things that will give us little floods of dopamine. These patterns of behaviour start creating neural pathways, so that they become unconscious habits."
"There is a famous study of rats, wired up with electrodes on their brains. When the rats press a lever, a little charge gets released in part of their brain that stimulates dopamine release. A pleasure lever.

Given a choice between food and dopamine, they’ll take the dopamine, often up to the point of exhaustion and starvation. They’ll take the dopamine over sex. Some studies see the rats pressing the dopamine lever 700 times in an hour.

We do the same things with our email. Refresh. Refresh.","There is a famous study of rats, wired up with electrodes on their brains. When the rats press a lever, a little charge gets released in part of their brain that stimulates dopamine release. A pleasure lever. Given a choice between food and dopamine, they’ll take the dopamine, often up to the point of exhaustion and starvation. They’ll take the dopamine over sex. Some studies see the rats pressing the dopamine lever 700 times in an hour. We do the same things with our email. Refresh. Refresh."," A pleasure lever is wired up with electrodes on rats' brains. When rats press a lever, a little charge gets released in part of their brain that stimulates dopamine release.","A pleasure lever is wired up with electrodes on rats' brains. When rats press a lever, a little charge gets released in part of their brain that stimulates dopamine release."
"There is no beautiful universe on the other side of the email refresh button, and yet it’s the call of that button that keeps pulling me out of the work I am doing, out of reading books I want to read.","There is no beautiful universe on the other side of the email refresh button, and yet it’s the call of that button that keeps pulling me out of the work I am doing, out of reading books I want to read.","There is no beautiful universe on the other side of the email refresh button, and yet it's the call of that button.","There is no beautiful universe on the other side of the email refresh button, and yet it's the call of that button."
"When I think back on my life, I can define a set of books that shaped me — intellectually, emotionally, spiritually. Books have always been an escape, a learning experience, a saviour, but beyond this, greater than this, certain books became, over time, a kind of glue that holds together my understanding of the world. I think of them as nodes of knowledge and emotion, nodes that knot together the fabric my self. Books, for me anyway, hold together who I am.","When I think back on my life, I can define a set of books that shaped me — intellectually, emotionally, spiritually. Books have always been an escape, a learning experience, a saviour, but beyond this, greater than this, certain books became, over time, a kind of glue that holds together my understanding of the world. I think of them as nodes of knowledge and emotion, nodes that knot together the fabric my self. Books, for me anyway, hold together who I am."," Books have always been an escape, a learning experience, a saviour, but beyond this, certain books became, over time, a kind of glue that holds together my understanding of the world. I think of them as nodes of knowledge and emotion, nodes that knot together the fabric my self.","Books have always been an escape, a learning experience, a saviour, but beyond this, certain books became, over time, a kind of glue that holds together my understanding of the world. I think of them as nodes of knowledge and emotion, nodes that knot together the fabric my self."
"Books, in ways that are different to visual art, to music, to radio, to love even, force us to walk through another’s thoughts, one word at a time, over hours and days. We share our minds for that time with the writer’s. There is a slowness, a forced reflection required by the medium that is unique. Books recreate someone else’s thoughts inside our own minds, and maybe it is this one-to-one mapping of someone else’s words, on their own, without external stimuli, that give books their power. Books force us to let someone else’s thoughts inhabit our minds completely.

Books are not just transferrers of knowledge and emotion, but a special kind of tool that flattens one self into another, that enable the trying-on of foreign ideas and emotions.","Books, in ways that are different to visual art, to music, to radio, to love even, force us to walk through another’s thoughts, one word at a time, over hours and days. We share our minds for that time with the writer’s. There is a slowness, a forced reflection required by the medium that is unique. Books recreate someone else’s thoughts inside our own minds, and maybe it is this one-to-one mapping of someone else’s words, on their own, without external stimuli, that give books their power. Books force us to let someone else’s thoughts inhabit our minds completely. Books are not just transferrers of knowledge and emotion, but a special kind of tool that flattens one self into another, that enable the trying-on of foreign ideas and emotions."," Books are not just transferrers of knowledge and emotion, but a special kind of tool that flattens one self into another.","Books are not just transferrers of knowledge and emotion, but a special kind of tool that flattens one self into another."
"This suppressing of the self is a kind of meditation too — and while books have always been important to me on their own (pre-digital) merits, it started to occur to me that “learning how to read books again,” might also be a way to start weaning my mind away from this dopamine-soaked digital detritus, this meaningless wash of digital information, which would have a double benefit: I would be reading books again, and I would get my mind back.

And, there are, often, beautiful universes to be found on the other side of the cover of a book.","This suppressing of the self is a kind of meditation too — and while books have always been important to me on their own (pre-digital) merits, it started to occur to me that “learning how to read books again,” might also be a way to start weaning my mind away from this dopamine-soaked digital detritus, this meaningless wash of digital information, which would have a double benefit: I would be reading books again, and I would get my mind back. And, there are, often, beautiful universes to be found on the other side of the cover of a book.","This suppressing of the self is a kind of meditation too, says author.","This suppressing of the self is a kind of meditation too, says author."
"Recent neuroscience confirms many of the things we sufferers of digital overload know innately. That successful multi-tasking is a myth. Multi-tasking makes us stupider. According to psychologist Glenn Wilson, the cognitive losses from multitasking are equivalent to smoking pot. _(UPDATE: thanks to_ [_Liza Daly_](https://medium.com/@liza) _for pointing out that Glenn Wilson has publicly stated that this study was part of a paid PR gig, and misrepresented in the media. See:_ [_http://www.drglennwilson.com/Infomania\_experiment\_for\_HP.doc_](http://www.drglennwilson.com/Infomania_experiment_for_HP.doc)_)_

This is bad for so many reasons: it makes us less effective at work, which means either we get less done, or have less time to spend doing other things, or both.","Recent neuroscience confirms many of the things we sufferers of digital overload know innately. That successful multi-tasking is a myth. Multi-tasking makes us stupider. According to psychologist Glenn Wilson, the cognitive losses from multitasking are equivalent to smoking pot. (UPDATE: thanks to Liza Daly for pointing out that Glenn Wilson has publicly stated that this study was part of a paid PR gig, and misrepresented in the media. See: http://www.drglennwilson.com/Infomania_experiment_for_HP.doc) This is bad for so many reasons: it makes us less effective at work, which means either we get less done, or have less time to spend doing other things, or both.","Recent neuroscience confirms many of the things we sufferers of digital overload know innately. According to psychologist Glenn Wilson, the cognitive losses from multitasking are equivalent to smoking pot.","Recent neuroscience confirms many of the things we sufferers of digital overload know innately. According to psychologist Glenn Wilson, the cognitive losses from multitasking are equivalent to smoking pot."
"It’s worse than that though, because this constant hopping from one thing to another is also exhausting.

My least productive days, the days when I have spent the most time jumping between projects and emails and Twitter and whatever else, are also my most exhausting days. I used to think that my exhaustion was the cause of this lack of focus, but it turns out the opposite might be true.","It’s worse than that though, because this constant hopping from one thing to another is also exhausting. My least productive days, the days when I have spent the most time jumping between projects and emails and Twitter and whatever else, are also my most exhausting days. I used to think that my exhaustion was the cause of this lack of focus, but it turns out the opposite might be true.",The days when I have spent the most time jumping between projects and emails and Twitter are also my most exhausting days.,The days when I have spent the most time jumping between projects and emails and Twitter are also my most exhausting days.
"And so, the problem, more or less, is identified:

1.  I cannot read books because my brain has been trained to want a constant hit of dopamine, which a digital interruption will provide
2.  This digital dopamine addiction means I have trouble focusing: on books, work, family and friends

Problem identified, or most of it. There is more.","And so, the problem, more or less, is identified: 1. I cannot read books because my brain has been trained to want a constant hit of dopamine, which a digital interruption will provide 2. This digital dopamine addiction means I have trouble focusing: on books, work, family and friends Problem identified, or most of it. There is more.","Digital dopamine addiction means I have trouble focusing on books, work, family and friends.","Digital dopamine addiction means I have trouble focusing on books, work, family and friends."
"We live in a golden age of television, there is no doubt. The stuff being produced these days is very good. And there is a lot of it.

For the past couple of years, my evening routine has been a variation on: get home from work, exhausted. Make sure the girls have eaten. Make sure I eat. Get the girls to bed. Feel exhausted. Turn on the computer to watch some (neo-golden-age-era) television. Fiddle with work emails, and generally piddle around while that golden-age-era TV consumes 57% of my attention. Be bad at watching TV and bad at getting emails done. Go to bed. Try to read. Check email. Try to read again. Fall asleep.","We live in a golden age of television, there is no doubt. The stuff being produced these days is very good. And there is a lot of it. For the past couple of years, my evening routine has been a variation on: get home from work, exhausted. Make sure the girls have eaten. Make sure I eat. Get the girls to bed. Feel exhausted. Turn on the computer to watch some (neo-golden-age-era) television. Fiddle with work emails, and generally piddle around while that golden-age-era TV consumes 57% of my attention. Be bad at watching TV and bad at getting emails done. Go to bed. Try to read. Check email. Try to read again. Fall asleep.","We live in a golden age of television, there is no doubt. The stuff being produced these days is very good.","We live in a golden age of television, there is no doubt. The stuff being produced these days is very good."
"I don’t know if Werner Herzog is right, but I do know that I would never say about television — even the great stuff, of which there is plenty — what I say about books. There are no television shows that exist as nodes holding together my understanding of the world. My relationship to television is just not the same as it is to books.","I don’t know if Werner Herzog is right, but I do know that I would never say about television — even the great stuff, of which there is plenty — what I say about books. There are no television shows that exist as nodes holding together my understanding of the world. My relationship to television is just not the same as it is to books.",There are no television shows that exist as nodes holding together my understanding of the world. My relationship to television is just not the same as it is to books.,There are no television shows that exist as nodes holding together my understanding of the world. My relationship to television is just not the same as it is to books.
"And so, starting in January, I started making some changes. The key ones are:

1.  No more Twitter, Facebook, or article reading during the work day (hard)
2.  No reading of random news articles (hard)
3.  No smartphones or computers in the bedroom (easy)
4.  No TV after dinner (it turns out, easy)
5.  Instead, go straight to bed and start reading a book — usually on an eink ereader (it turns out, easy)

The shocking thing was how quickly my mind adapted to accommodate reading books again. I had expected to fight for that concentration — but I didn’t have to fight. With less digital input (no pre-bed TV, especially), extra time (no TV, again), and without a tempting digital device near at hand … there was time and space for my mind to settle into a book.

What a wonderful feeling it was.","And so, starting in January, I started making some changes. The key ones are: 1. No more Twitter, Facebook, or article reading during the work day (hard) 2. No reading of random news articles (hard) 3. No smartphones or computers in the bedroom (easy) 4. No TV after dinner (it turns out, easy) 5. Instead, go straight to bed and start reading a book — usually on an eink ereader (it turns out, easy) The shocking thing was how quickly my mind adapted to accommodate reading books again. I had expected to fight for that concentration — but I didn’t have to fight. With less digital input (no pre-bed TV, especially), extra time (no TV, again), and without a tempting digital device near at hand … there was time and space for my mind to settle into a book. What a wonderful feeling it was."," No more Twitter, Facebook, or article reading during the work day (hard) No smartphones or computers in the bedroom (easy) No TV after dinner (it turns out, easy)","I started making some changes:
* No more Twitter, Facebook, or article reading during the work day (hard)
* No smartphones or computers in the bedroom (easy)
* No TV after dinner (it turns out, easy)"
"I am reading books now more than I have in years. I have more energy, and more focus than I’ve had for ages. I have not fully conquered my digital dopamine addiction, though, but it’s getting there. I think reading books is helping me retrain my mind for focus.

And books, it turns out, are still the same wonderful things they used to be. I can read them again.

Workday email, however, remains a problem. If you have suggestions for that, please let me know.

_(By the way, I am starting a little email newsletter about books, reading and the technology that surrounds them both. I’ll aim to have something new every week or two. You can_ [**_sign up here_**](http://tinyletter.com/hughmcguire)_)._","I am reading books now more than I have in years. I have more energy, and more focus than I’ve had for ages. I have not fully conquered my digital dopamine addiction, though, but it’s getting there. I think reading books is helping me retrain my mind for focus. And books, it turns out, are still the same wonderful things they used to be. I can read them again. Workday email, however, remains a problem. If you have suggestions for that, please let me know. (By the way, I am starting a little email newsletter about books, reading and the technology that surrounds them both. I’ll aim to have something new every week or two. You can sign up here).","I am reading books now more than I have in years. I have more energy, and more focus than I’ve had for ages. I have not fully conquered my digital dopamine addiction, though, but it’s getting there.","I am reading books now more than I have in years. I have more energy, and more focus than I’ve had for ages. I have not fully conquered my digital dopamine addiction, though, but it’s getting there."
"I’m looking you in the eyes, (ok well, not really since you are probably reading this article, but figuratively, I am burning a cyclops type hole in your face right now) and telling you that you don’t stand a chance.

I’m telling you that if you can read this article, look through this list and not claim it as your own, then you should be a little worried.

Actually, you should be very worried. You should drop everything and immediately question your existence on earth. You should find a mirror, look yourself in the eyes, raise your hand and slap yourself in the face.

Got it? Now repeat that until you come to your senses and continue reading whenever you’re ready.","I’m looking you in the eyes, (ok well, not really since you are probably reading this article, but figuratively, I am burning a cyclops type hole in your face right now) and telling you that you don’t stand a chance. I’m telling you that if you can read this article, look through this list and not claim it as your own, then you should be a little worried. Actually, you should be very worried. You should drop everything and immediately question your existence on earth. You should find a mirror, look yourself in the eyes, raise your hand and slap yourself in the face. Got it? Now repeat that until you come to your senses and continue reading whenever you’re ready."," You should drop everything and immediately question your existence on earth. You should find a mirror, look yourself in the eyes, raise your hand and slap yourself in your face.","You should drop everything and immediately question your existence on earth. You should find a mirror, look yourself in the eyes, raise your hand and slap yourself in your face."
"I’m not talking about the: study hard, party light, graduate top-of-your-class skills.

I’m not even talking about the: slack-off, skip class, smoke weed, drink and party but still graduate, skill-set your $50,000+ diploma has led you to believe you have.","I’m not talking about the: study hard, party light, graduate top-of-your-class skills. I’m not even talking about the: slack-off, skip class, smoke weed, drink and party but still graduate, skill-set your $50,000+ diploma has led you to believe you have.","I'm not talking about the: slack-off, skip class, smoke weed, drink and party but still graduate, skill-set your $50,000+ diploma has led you to believe you have.","I'm not talking about the: slack-off, skip class, smoke weed, drink and party but still graduate, skill-set your $50,000+ diploma has led you to believe you have."
"The kind of skills you develop in the real world, outside the bubble of your parents protection or the ideological indoctrination that has overwhelmed our entire educational system.

Skills that can be had by anyone willing to pay the price to get them. Skills that are quickly becoming extinct.

I’m talking about skills that cannot be taught in a classroom or in a textbook. Skills you can only learn by doing; by learning how to fly after jumping off the cliff.

Skills that can only be developed when you find your true self. When you put yourself on the line or otherwise expose yourself to the possibility of failure.

The skills you can only develop when you are willing to risk it all in order to do that one amazing thing.

Skills that up until now, you thought you had.","The kind of skills you develop in the real world, outside the bubble of your parents protection or the ideological indoctrination that has overwhelmed our entire educational system. Skills that can be had by anyone willing to pay the price to get them. Skills that are quickly becoming extinct. I’m talking about skills that cannot be taught in a classroom or in a textbook. Skills you can only learn by doing; by learning how to fly after jumping off the cliff. Skills that can only be developed when you find your true self. When you put yourself on the line or otherwise expose yourself to the possibility of failure. The skills you can only develop when you are willing to risk it all in order to do that one amazing thing. Skills that up until now, you thought you had.","The kind of skills you develop in the real world, outside the bubble of your parents protection or the ideological indoctrination that has overwhelmed our entire educational system. Skills you can only learn by doing; by learning how to fly after jumping off the cliff.","The kind of skills you develop in the real world, outside the bubble of your parents protection or the ideological indoctrination that has overwhelmed our entire educational system. Skills you can only learn by doing; by learning how to fly after jumping off the cliff."
"Because you are comfortable in your mediocrity; because you choose not to try.

Because it is easier to talk about learning that new (programming?) language as opposed to actually learning it.

Because you think everything is too hard or too complicated so you will just “sit this one out”, or maybe you’ll, “do-it-tomorrow”!

Because you hate your job but won’t get a new one; because it is easy to reject rejection.

Because while you’re sitting around failing to try, I am out there trying to fail, challenging myself, learning new things and failing as fast as possible.

Because as I fail, I learn, and then adjust my course to make sure my path is always forward. Like the process of annealing steel, I’ve been through the fire and pounded into shape. The shape of a sword with polished edges and a razor sharp blade that will cut you in half if you are not equally hardened.","Because you are comfortable in your mediocrity; because you choose not to try. Because it is easier to talk about learning that new (programming?) language as opposed to actually learning it. Because you think everything is too hard or too complicated so you will just “sit this one out”, or maybe you’ll, “do-it-tomorrow”! Because you hate your job but won’t get a new one; because it is easy to reject rejection. Because while you’re sitting around failing to try, I am out there trying to fail, challenging myself, learning new things and failing as fast as possible. Because as I fail, I learn, and then adjust my course to make sure my path is always forward. Like the process of annealing steel, I’ve been through the fire and pounded into shape. The shape of a sword with polished edges and a razor sharp blade that will cut you in half if you are not equally hardened.","Because you hate your job but won't get a new one, it is easy to reject rejection. Because you think everything is too hard or too complicated so you will just “sit this one out” or maybe you’ll, “do-it","Because you hate your job but won't get a new one, it is easy to reject rejection. Because you think everything is too hard or too complicated so you will just “sit this one out” or maybe you’ll “do-it-tomorrow”."
"Because you have to fit in.

Because you believe that being different is only cool if you’re different in the same way that other people are different.

Because you are afraid to embrace your true self for fear of how the world will see you. You think that because you judge others, this means that those people must, in-turn, be judging you.

Because you care more about the stuff you have as opposed to the things you’ve done.

Because while you’re out spending your money on new outfits, new cars, overpriced meals or nights at the bar, I’ll be investing in myself. And while you try to fit in with the world I’ll make the world fit in with me.","Because you have to fit in. Because you believe that being different is only cool if you’re different in the same way that other people are different. Because you are afraid to embrace your true self for fear of how the world will see you. You think that because you judge others, this means that those people must, in-turn, be judging you. Because you care more about the stuff you have as opposed to the things you’ve done. Because while you’re out spending your money on new outfits, new cars, overpriced meals or nights at the bar, I’ll be investing in myself. And while you try to fit in with the world I’ll make the world fit in with me.","You are afraid to embrace your true self for fear of how the world will see you. You think that because you judge others, this means that those people must, in-turn, be judging you. Because you care more about the stuff you have as opposed to the","You are afraid to embrace your true self for fear of how the world will see you. You think that because you judge others, this means that those people must, in-turn, be judging you. Because you care more about the stuff you have as opposed to the"
"Because you did what everyone else did; you studied what they studied and read what they read.

Because you learned what you had to learn in order to pass _their_ tests and you think that makes you smart.

Because you think learning is only something people do in schools.

Because while you were away at college, I was studying life; because instead of learning about the world in a classroom I went out and learned it by living.

Because I know more than any piece of paper you could ever frame from a university. Because smart is not what you learn, it’s how you live.

Because I might not have a degree but I challenge you to find a topic that I can’t talk to you about cohesively.

Because I could pass your tests if I had to, but you couldn’t stand for a single second in the face of the tests that life has thrown me. Tests that are not graded on a bell curve or by percentages; tests that are graded by one simple stipulation: survival!","Because you did what everyone else did; you studied what they studied and read what they read. Because you learned what you had to learn in order to pass their tests and you think that makes you smart. Because you think learning is only something people do in schools. Because while you were away at college, I was studying life; because instead of learning about the world in a classroom I went out and learned it by living. Because I know more than any piece of paper you could ever frame from a university. Because smart is not what you learn, it’s how you live. Because I might not have a degree but I challenge you to find a topic that I can’t talk to you about cohesively. Because I could pass your tests if I had to, but you couldn’t stand for a single second in the face of the tests that life has thrown me. Tests that are not graded on a bell curve or by percentages; tests that are graded by one simple stipulation: survival!","Because you learned what you had to learn in order to pass their tests, you think that makes you smart. Because smart is not what you learn, it's how you live. Because I could pass your tests if I had to, but you couldn’t stand for a single second in the face of the tests that life","Because you learned what you had to learn in order to pass _their_ tests, you think that makes you smart. Because smart is not what you learn, it's how you live. Because I could pass your tests if I had to, but you couldn’t stand for a single second in the face of the tests of life."
"Because you read the things you are required to read or nothing at all.

Because you think history is boring and philosophy is stupid.

Because you would rather sit and watch “E!” or “MTV” instead of exploring something new, instead of diving head first, into the brain of another man in an attempt to better understand the world around you.

Because you refuse to acknowledge that all the power in the world comes from the words of those that lived before us. That anything you desire can be had by searching through the multitude of words that are available to us now more abundantly than ever before.

Because you are probably not reading this article even though you know you should.

Because the people that are reading this already know these things.

Because you can lead a horse to water but you can’t make him drink.","Because you read the things you are required to read or nothing at all. Because you think history is boring and philosophy is stupid. Because you would rather sit and watch “E!” or “MTV” instead of exploring something new, instead of diving head first, into the brain of another man in an attempt to better understand the world around you. Because you refuse to acknowledge that all the power in the world comes from the words of those that lived before us. That anything you desire can be had by searching through the multitude of words that are available to us now more abundantly than ever before. Because you are probably not reading this article even though you know you should. Because the people that are reading this already know these things. Because you can lead a horse to water but you can’t make him drink.",Because you think history is boring and philosophy is stupid. Because you refuse to acknowledge that all the power in the world comes from the words of those that lived before us.,Because you think history is boring and philosophy is stupid. Because you refuse to acknowledge that all the power in the world comes from the words of those that lived before us.
"Because you get your news from copy-cat members of the state-controlled media.

Because you are unwilling to ask this simple question… “What if it’s all a lie?”, and accept the possibility that maybe it is; that just maybe, the methods of mass media are under direct orders to: keep you distracted.

Because you call me a know-it-all but refuse to call yourself a know-nothing-at-all.

Because I thirst for knowledge, regardless the topic.

Because while you’re busy playing _Candy Crush_, or _Megalopolis,_ I am reading about string theory and quantum mechanics.

Because while you waste your time with Tosh.o I am learning how to edit video, build websites and design mobile apps.

Because if we were to go heads-up in a debate, I would crush you. I would make it a point to defeat my own argument; from every imaginable angle; in order to understand everything you might be able to use against me.","Because you get your news from copy-cat members of the state-controlled media. Because you are unwilling to ask this simple question… “What if it’s all a lie?”, and accept the possibility that maybe it is; that just maybe, the methods of mass media are under direct orders to: keep you distracted. Because you call me a know-it-all but refuse to call yourself a know-nothing-at-all. Because I thirst for knowledge, regardless the topic. Because while you’re busy playing Candy Crush, or Megalopolis, I am reading about string theory and quantum mechanics. Because while you waste your time with Tosh.o I am learning how to edit video, build websites and design mobile apps. Because if we were to go heads-up in a debate, I would crush you. I would make it a point to defeat my own argument; from every imaginable angle; in order to understand everything you might be able to use against me.",State-controlled media are under direct orders to: keep you distracted.,State-controlled media are under direct orders to keep you distracted.
Because I would dedicate myself to understanding both sides of the argument so thoroughly that I could argue your side for you and win; even after having just handed you a defeat in the same debate.,Because I would dedicate myself to understanding both sides of the argument so thoroughly that I could argue your side for you and win; even after having just handed you a defeat in the same debate.," I would dedicate myself to understanding both sides of the argument so thoroughly that I could argue your side for you and win, even after having just handed you a defeat in the same debate.","I would dedicate myself to understanding both sides of the argument so thoroughly that I could argue your side for you and win, even after having just handed you a defeat in the same debate."
